provcd,countyid,cid,age,health,minority,stateown,collective,private,foreign,formal,part_time,mwage_atax,bcollar,wcollar,service,week_whours,employ,familysize,BJ,TJ,HeB,ShX,NMG,LN,JN,HLJ,SH,JS,ZJ,AnH,FJ,JX,ShD,HeN,HuB,HuN,GuD,GuX,HaN,ChQ,SiCh,GuZ,YunN,XZ,ShaX,GS,QinH,NinX,XinJ,lnwage,experience,urban,gender,hukou,spouse,edu,military1,party1,evsmoke1,agri_job,gsubsidy,gsubsidy_amount,subsidy,lnsubsidy,lngsubsidy,employ_w,good_job
北京市,45,118400,35,1,0,1,0,0,0,0,0,5000,0,0,0,40,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,1,1,1,1,4,0,0,0,0,0,0,80000,9,0,1,0
北京市,45,118400,22,1,0,1,0,0,0,0,1,3000,0,1,0,40,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,1,0,1,0,4,0,0,0,0,0,0,84000,9,0,1,1
北京市,45,118400,34,3,0,0,0,1,0,0,1,5000,1,0,0,40,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,1,0,1,1,4,0,0,0,0,0,0,0,0,0,1,0
北京市,45,118100,48,3,0,0,0,1,0,0,1,10000,1,0,0,20,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,1,1,1,1,4,0,0,1,0,0,0,0,0,0,1,0
北京市,45,118100,46,3,0,1,0,0,0,0,1,4000,0,0,1,40,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,1,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0
浙江省,1019,864794,40,1,0,0,0,1,0,0,1,4500,0,0,0,84,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,24,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
河南省,113,212400,51,5,0,0,0,0,0,0,0,500,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,35,0,0,0,1,1,0,0,0,1,1,3000,3000,6,6,1,0
河北省,204,144152,25,2,0,0,0,1,0,0,1,4500,1,0,0,40,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,1,1,0,1,4,0,0,1,0,0,0,0,0,0,1,0
河北省,204,144152,26,3,0,0,0,1,0,0,1,4000,0,0,0,50,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,1,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0
广东省,8486,951909,39,2,0,0,0,1,0,0,1,5000,0,0,0,70,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,23,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0
湖南省,32,337263,37,5,0,1,0,0,0,0,1,2500,1,0,0,40,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,1,1,1,1,4,0,1,1,0,0,0,0,0,0,1,0
河南省,102,228049,39,1,0,0,0,0,0,0,1,4000,0,0,0,84,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,1,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0
广东省,2017,659021,34,4,0,0,0,0,0,0,1,10000,1,0,0,100,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,18,1,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0
广东省,2017,659021,37,4,0,0,0,0,0,0,1,15000,0,0,0,70,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,21,1,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0
